"Número de guía","Número de bulto que se va a agregar","Unidad de medida","Detalle de la sustancia UN3373","Detalle del patógeno/virus","Cantidad de embalajes interiores","Estado físico","Cantidad neta por embalaje interior","Detalle de sustancia refrigerante o que sirve para mantener la viabilidad","Número ONU de la sustancia refrigerante si es MP ","Cantidad neta por bulto","Unidad de medida ","Número de bulto"
"888004580427","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA ","48","Sustancia liquida",,"DRY ICE","UN 1845","2","Kg","1"
"888004580616","1","L","SANGRE, MATERIA FECAL, ORINA , LIQUIDOS CORPORALES ","INVESTIGACION ","3","Sustancia liquida",,"HIELO SECO ","UN1845","3","Kg","1"
"888004577063","1","L","SUEROS ","HIV ","67","Sustancia liquida",,"PILA DE GEL ","N/A","7,37","Kg","1"
"888004577063","1","L","SANGRE ","HIV ","30","Sustancia liquida",,"0","0","0","N/A","0"
"888004577063","1","L","ORINAS ","E.COLI ","21","Sustancia liquida",,"0","0","0","N/A","0"
"888004577063","1","L","LIQUIDOS CORPORALES ","15","15","Sustancia liquida",,"0","0","0","N/A","0"
"888004577063","1","L","TEJIDOS ","TUBERCULOSIS ","16","Sustancia liquida",,"0","0","0","N/A","0"
"888004577063","1","L","ESPUTOS ","TUBERCULOSIS ","18","Sustancia liquida",,"0","0","0","N/A","0"
"888004577063","1","Kg","MATERIA FECAL ","SALMONELLA ","9","Sustancia solida",,"0","0","0","N/A","0"
"888004577063","2","L","SUEROS ","HIV ","35","Sustancia liquida",,"0","0","0","N/A","0"
"888004577063","2","L","PLASMAS ","HIV ENF AUTOINMUNES ","13","Sustancia liquida",,"0","0","0","N/A","0"
"888004577063","2","L","ORINAS ","E.COLI","1","Sustancia liquida",,"HIELO SECO ","1845","5,11","Kg","2"
"888004571134","1","L","SANGRE ","DIABETES ","5","Sustancia liquida",,"HIELO SECO ","1845","2,5","Kg","1"
"888004571134","2","L","SANGRE ","HEMATOLOGIA ","2","Sustancia liquida",,"PILA DE EL ","N/A","0,99","Kg","2"
"888004581331","1","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","154","Sustancia liquida",,"GEL EFRIEGRANTE","N/A","2","Kg","1"
"888004571134","2","L","SANGRE ","DIABETES ","3","Sustancia liquida",,"0","0","0","N/A","0"
"888004580879","1","Kg","SANGRE MATERIA FECAL LIQUIDOS CORPORALES ORINA ","INVESTIGACION ","3","Sustancia liquida",,"GEL REFRIGERANTE","N/A","5","Kg","1"
