"Número de guía","Número de bulto a agregar","Tipo de embalaje","Detalle naturaleza del envío","Peso neto del hielo seco (Kg)","Peso bruto del bulto (Kg)"
"888004924232","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","4","8.9"
"888004924044","1","CAJA DE CARTON","SUEROS","3","5"
"888004924174","1","CAJA DE CARTON PRENSADO","INVESTIGACION","3","8"
"4924722","1","CAVA DE ICOPOR","HIELO SECO","5","11.9"
"4924764","1","CAVA DE ICOPOR","HIELO SECO","5","10.1"
"888004932812","1","CONTENEDOR DE POLIESTIRENO","TEJIDO OSEO PARA TRANSPLANTE","2.5","28.3"
"888004930478","1","CAVA DE ICOPOR ","INJERTO OSEO ","1","18"
"888004936156","1","CAJA DE CARTON ","SANGRE ","6","8"
"888004936156","1","CAJA DE CARTON ","SANGRE ","6","8"
"888004939638","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","4"
"888004940599","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","6"
"888004940267","1","CAJA NEVERA","HIELO SECO","18.5","18.6"
"4938698","1","NEVERA-CAJA","MEDICAMENTOS","3","6.25"
"888004940029","1","CARTON PRENSADO ","DIOXIDO DE CARBONO ","7","7.4"
"888004942143","1","nevera","MUESTRAS BIOLOGICAS ","3","4"
"888004942226","2","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","12","19.5"
"888004942665","1","SUEROS ","INVESTIGACION ","3","4"
"888004942665","2","SUEROS ","INVESTIFGACION","3","4"
"888004944076","1","CAJA NEVERA","HIELO SECO","2.68","2.81"
"888004944336","1","CAVA ICOPOR CON CAJA CARTON","PRUEBAS DE QUIMICA","3","4.34"
"888004944486","3","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","4","9.2"
"888004944987","1","CAJA DE CARTON PRENSADO ","INVESTIGACION ","3","4"
"888004945422","1","CAJA DE CARTON ","DRY ICE","1","7.6"
"888004946853","1","POLIEXTIRENO EXPANDIDOL","DIOXIDO DE CARBONO CONGELADO ","3","3.3"
"888004947895","1","CAJA DE CARTON","INVESTIGACION","3","14"
"888004949670","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","4","8.7"
"888004953990","1.234","CAJA CARTON E ICOPOR","SUSTANCIAS BIOLOGICAS","9","10"
"888004963056","2","CAJA DE CARTON ","SANGRE ","4","5"
"888004963056","2","CAJA DE CARTON ","ORINA","4","5"
"888004963030","1","CAJA DE CARTON ","SANGRE ","2","3"
"888004963030","1","CAJA DE CARTON ","SANGRE ","4","5"
"888004964372","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","2","3"
"4966015","1","CAJA DE CARTON ","MUESATRAS BIOLOGICAS CT B ","2","2"
"888004965717","2","CAJA DE CARTON ","MUESTRA BIOLOGICA CATEGORIA B ","20","42.4"
"888004965781","1","CAJA NEVERA","HIELO SECO","18.4","18.6"
"888004965781","2","CAJA NEVERA","HIELO SECO","7.2","7.3"
"888004964556","1","CARTON PRENSADO","HIELO SECO ","4","4.4"
"888004964935","1","CAJA DE CARTON","DRY ICE","3","4.4"
"888004968615","2","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","4","7.4"
"888004967836","1","nevera","muestras biologicas ","2","3"
"888004970933","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888004971471","2","CAJA NEVERA","HIELO SECO","5.02","5.36"
"888004973197","1","CAJA DE ICOPOR ","DRY ICE","2","11"
"888004973197","2","CAJA DE CARTON","DRY ICE","2","6.6"
"888004973803","3","CAJA DE CARTON ","CHORIZO, BOLLO","9.8","50.7"
"888004973738","7","CAJA DE CARTON ","CHORIZO Y BOLLO ","17.9","133"
"888004973341","1","CAJA DE CARTON","HIELO SECO","2","4"
"888004974280","1","CAJA DE CARTON PRENSADO","INVESTIGACION","3","16"
"888004973416","10","POLIEXTIRENO EXPANDIDO","DIOXIDO DE CARBONO ","3","3.3"
"888004986555","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","2","5"
"888004990016","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","8","23.8"
"888004988017","1","CAJA DE CARTON","SANGRE ","4","5"
"888004988017","1","CAJA DE CARTON ","SANGRE ","2","3"
"888004991127","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","5"
"888004991182","1","CARTON PRENSADO ","DIOXIDO DE CORBNONO  CONGELADO","4","4.8"
"888004991936","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","5"
"888004994043","1","NEVERA","MUESTRAS BIOLOGICAS ","6","7"
"888004995791","2","CAJA NEVERA","HIELO SECO","2.76","3.07"
"888004996761","1","CARTON PRENSADO ","4","4","4.3"
"3137453840","1","CAJA DE CARTON PRENSADO ","INVESTIGACION","3","4"
"888004996145","1","CAJA DE CARTON PRENSADO","INVESTIGACION","3","4"
"888005000340","7","POLIEXTIRENO EXPANDIDO","DIOXIDO CARBONO CARBONO","3","3.3"
"888005000812","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","13"
"888005001010","1","CARTON E ICOPOR","SUEROS","4","5.86"
"888005016546","1","CAJA DE CARTON PRENSADA ","INVESTIGACION ","2","3"
"888005016545","1","NEVERA","MUESTRAS BIOLOGICAS ","4","5"
"888005017340","1","CAJA DE CARTON PRENSADO","INVESTIGACION","3","9"
"5048212","1","NEVERA DE ICOPOR","MATERIAL QUIRURGICO","8","9.35"
"888005053578","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005056127","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005060291","1","CARTON E ICOPOR","HEMOCULTIVOS","4","6.18"
"888005056264","2","CAJA NEVERA","HIELO SECO","2.5","2.67"
"888005062721","1","CARTON ","DRI ICE - HIELO SECO ","7","18"
"888005061597","1","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICAS CATEGORIA B ","3","15"
"5063850","1","CAVA DE ICOPOR","HIELO SECO","5","13"
"5066391","1","CAJA DE POLIPROPILENO","HIELO SECO","4","5"
"5066391","2","CAJA DE POLIPROPILENO","HIELO SECO","4","5"
"5066391","3","CAJA DE POLIPROPILENO","HIELO SECO","4","5"
"5066391","4","CAJA DE POLIPROPILENO","HIELO SECO","4","5"
"888005078147","1","NEVERA ICOPOR","TEJIDOS OSEOS ","1","8"
"888005081027","2","CAJA DE CARTO ","SANGRE ","4","5"
"888005081027","2","CAJA DE CARTON ","ORINA ","4","5"
"888005081436","3","CARTON PRENSADO ","DIOXIDO DE CARBONO CONGELADO ","4","4.4"
"888005081436","4","CARTON PRENSADO","DIOXIDO DE CARBONO ","4","4.4"
